date,boxtotal,boxofficeshare,day_type,comment
2025/1/29,4.87202,0.258,weekday,The film has a tight and well-paced narrative
2025/1/30,9.65695,0.358,weekday,Fantastic visuals
2025/1/31,15.84922,0.482,Friday,AoBing's father is so handsome
2025/2/1,23.15,0.586,Saturday(Spring Festival),Touching
2025/2/2,31.29,0.644,Sunday,It reminds me of my family.
2025/2/3,39.72,0.689,weekday,The director is a genius.
2025/2/4,48.37,0.713,weekday,Brilliant
2025/2/5,54.88,0.75,weekday,Hidden details are impressive
2025/2/6,60.72,0.772,weekday,Flawless
2025/2/7,66.17,0.789,Friday,It's true that Gongbao says about People's ingrained prejudice feels like an unshakable mountain
2025/2/8,72.36,0.805,weekend,Looking Forward to Nezha 3.
2025/2/9,79.96,0.819,weekend,
2025/2/10,84.78,0.827,weekday,
2025/2/11,89.6,0.839,weekday,
2025/2/12,94.93,0.851,weekday,
2025/2/13,98.52,0.844,weekday,
2025/2/14,104.36,0.782,weekday,
2025/2/15,110.23,0.86,Saturday,
